#{"t_start": 1641332267.081127, "env_id": null}
r,l,t
-628.404296,59,616.160168
-683.050174,47,616.209701
-672.842573,47,616.259559
-664.680257,42,616.30162
-691.427352,55,616.354155
-661.362348,44,616.398163
-683.873593,57,616.453061
-659.948252,42,616.493914
-551.540759,62,616.551423
-685.171994,51,616.599465
-675.081767,49,616.647971
-685.132028,49,616.699964
-678.231334,51,616.748675
-610.041456,54,616.801635
-563.855382,56,616.860416
-685.518669,51,616.911069
-690.221651,56,616.984964
-685.764768,52,617.04254
-656.205348,41,617.085879
-651.868905,55,617.137914
-642.101636,58,641.707109
-607.556801,57,641.762019
-606.356074,60,641.820035
-630.815388,54,641.875648
-550.855789,66,641.942593
-657.02697,54,642.009424
-578.725557,61,642.068254
-551.937734,61,642.125638
-614.55586,64,642.188102
-588.952056,60,642.24784
-636.768042,58,642.30418
-668.559821,56,642.356867
-583.935803,54,642.409876
-580.567304,59,642.465029
-677.795842,55,642.519803
-590.387809,59,642.576163
-499.934962,69,642.638845
-435.672913,70,667.374663
-691.305548,60,667.432697
-522.875372,56,667.487227
-611.566474,40,667.528319
-616.073457,57,667.581884
-621.319494,63,667.639647
-514.191371,56,667.699845
-458.899983,58,667.756197
-509.26242,60,667.813644
-553.939579,52,667.866441
-633.032499,44,667.910895
-646.996882,57,667.970262
-630.33117,42,668.012686
-639.740649,38,668.052856
-558.609535,54,668.104975
-642.557735,39,668.143573
-657.727389,43,668.18997
-519.007605,56,668.249044
-607.127366,42,668.29063
-715.279555,51,694.241999
-486.615516,67,694.30628
-498.903413,67,694.371718
-527.44131,66,694.432892
-566.915365,74,694.506621
-729.060439,79,694.58136
-497.572928,66,694.645283
-490.531397,69,694.71553
-652.438052,45,694.76236
-500.557192,63,694.820252
-469.92497,70,694.89506
-682.187571,78,694.971334
-593.350412,72,695.039188
-597.59456,79,695.112152
-438.979094,79,720.63787
-656.15177,47,720.685888
-505.173296,55,720.742633
-581.268511,54,720.79329
-608.479185,50,720.841937
-634.862813,46,720.887182
-659.383415,46,720.935435
-643.709708,48,720.980912
-668.308248,55,721.033693
-677.647825,54,721.083872
-610.012682,46,721.129084
-552.042018,51,721.180239
-590.267053,49,721.234129
-578.453431,49,721.282943
-632.965202,52,721.331247
-593.663008,46,721.374953
-595.505519,49,721.424647
-645.927395,48,721.471966
-553.993637,58,721.526246
-621.226194,53,721.577737
-583.506635,54,748.989919
-665.811184,46,749.039537
-524.511527,51,749.091227
-633.248315,52,749.14306
-670.287107,50,749.194542
-672.536746,51,749.256293
-657.884809,48,749.31805
-569.596622,54,749.390645
-632.827662,49,749.46122
-649.132528,45,749.522458
-606.461118,55,749.592254
-658.95567,40,749.634429
-655.628981,44,749.681122
-648.3635,46,749.735097
-604.887587,47,749.79525
-548.68681,50,749.862722
-660.935652,45,749.90914
-560.818303,52,749.96922
-600.54523,48,750.02265
-560.521791,48,750.078913
-655.106142,44,750.126392
-627.315744,50,779.995924
-654.622752,44,780.045382
-639.394402,44,780.103911
-534.516739,46,780.155499
-397.486213,61,780.223837
-575.305219,44,780.269376
-617.473237,46,780.320133
-588.417089,49,780.37151
-614.346514,43,780.410238
-579.55921,45,780.455759
-647.203856,45,780.495085
-539.03529,51,780.538853
-563.80448,47,780.578763
-638.639322,42,780.614924
-527.714545,49,780.656673
-539.199813,64,780.711202
-590.358972,53,780.753498
-652.717732,44,780.789773
-630.343727,45,780.827807
-531.125648,45,780.867502
-646.152494,44,780.905392
-693.005694,71,823.821021
-660.135459,111,824.169406
-654.996316,92,824.690656
-643.226081,107,825.110291
-688.925039,80,825.183633
-684.109041,54,825.247168
-557.759914,94,825.328834
-620.866001,92,825.404345
-648.786977,76,825.467321
-604.837814,52,825.510913
-614.978767,97,825.631152
-665.332476,54,825.774051
-457.87009,98,863.652771
-565.850282,65,863.779377
-699.319073,51,863.871799
-460.551689,69,863.987787
-565.547248,58,864.409143
-401.806208,71,864.927527
-391.021984,73,865.223481
-565.911227,71,865.421666
-592.427124,54,865.506165
-445.146992,67,865.649797
-494.760772,64,865.786816
-636.50063,55,865.858205
-547.123009,66,865.924735
-534.943813,69,865.990591
-498.073068,77,866.059587
-701.320409,113,898.201553
-637.010016,45,898.275355
-648.918259,41,898.323538
-650.068734,100,898.445665
-535.515857,89,898.549194
-640.195697,38,898.606601
-647.488786,56,898.689426
-643.883801,42,898.755863
-608.48656,70,898.843731
-560.706831,77,898.96828
-595.472865,74,899.078078
-623.037351,56,899.160075
-736.416313,80,899.292101
-583.883718,70,899.396297
-642.778175,39,899.447641
-664.134835,78,933.871378
-483.17755,49,933.928621
-633.86831,42,933.975968
-518.900882,45,934.026109
-445.815706,55,934.085988
-589.582613,44,934.132344
-536.427224,51,934.184511
-564.588617,46,934.237019
-580.431839,48,934.292042
-543.573017,50,934.345
-621.70629,40,934.39059
-500.116364,50,934.44649
-653.104184,46,934.494607
-493.904583,48,934.550437
-613.937444,46,934.59533
-435.844468,54,934.667748
